,device_sn,when_captured
21823,Solarcast #30023,2020-04-13 03:14:46+00:00
21828,Solarcast #30023,2020-04-13 04:17:05+00:00
21829,Solarcast #30023,2020-04-13 05:16:26+00:00
21830,Solarcast #30023,2020-04-13 06:31:26+00:00
21831,Solarcast #30023,2020-04-13 07:46:26+00:00
21832,Solarcast #30023,2020-04-13 09:01:26+00:00
21834,Solarcast #30023,2020-04-13 10:01:26+00:00
22144,Solarcast #30023,2020-04-16 09:56:11+00:00
22150,Solarcast #30023,2020-04-16 11:09:05+00:00
22156,Solarcast #30023,2020-04-16 12:29:12+00:00
22163,Solarcast #30023,2020-04-16 13:54:36+00:00
22164,Solarcast #30023,2020-04-16 15:06:51+00:00
22165,Solarcast #30023,2020-04-16 16:20:11+00:00
22166,Solarcast #30023,2020-04-16 17:47:47+00:00
22167,Solarcast #30023,2020-04-16 19:08:30+00:00
22168,Solarcast #30023,2020-04-16 20:05:08+00:00
22169,Solarcast #30023,2020-04-16 21:20:08+00:00
22222,Solarcast #30023,2020-04-17 10:49:08+00:00
22223,Solarcast #30023,2020-04-17 11:08:55+00:00
22224,Solarcast #30023,2020-04-17 12:23:11+00:00
22225,Solarcast #30023,2020-04-17 13:45:51+00:00
22226,Solarcast #30023,2020-04-17 15:00:52+00:00
22227,Solarcast #30023,2020-04-17 16:13:46+00:00
22228,Solarcast #30023,2020-04-17 17:21:35+00:00
22229,Solarcast #30023,2020-04-17 18:34:56+00:00
22230,Solarcast #30023,2020-04-17 19:43:11+00:00
22231,Solarcast #30023,2020-04-17 20:53:46+00:00
22234,Solarcast #30023,2020-04-17 22:03:45+00:00
22565,Solarcast #30024,2020-04-01 04:11:01+00:00
22566,Solarcast #30024,2020-04-01 06:39:43+00:00
22572,Solarcast #30024,2020-04-01 12:39:47+00:00
22588,Solarcast #30024,2020-04-01 20:57:31+00:00
22809,Solarcast #30024,2020-04-07 15:59:19+00:00
22816,Solarcast #30024,2020-04-07 19:36:55+00:00
22826,Solarcast #30024,2020-04-08 01:27:57+00:00
22837,Solarcast #30024,2020-04-08 09:34:49+00:00
23148,Solarcast #30024,2020-04-15 12:51:25+00:00
23157,Solarcast #30024,2020-04-15 22:36:25+00:00
23162,Solarcast #30024,2020-04-16 00:39:33+00:00
23507,Solarcast #30025,2020-04-06 17:44:44+00:00
23544,Solarcast #30025,2020-04-07 07:14:44+00:00
23545,Solarcast #30025,2020-04-07 15:59:56+00:00
23548,Solarcast #30025,2020-04-07 16:59:44+00:00
23741,Solarcast #30025,2020-04-12 21:02:22+00:00
23747,Solarcast #30025,2020-04-12 23:32:22+00:00
23874,Solarcast #30025,2020-04-20 03:24:01+00:00
23875,Solarcast #30025,2020-04-20 04:34:01+00:00
23897,Solarcast #30026,2020-04-01 09:13:13+00:00
23898,Solarcast #30026,2020-04-01 10:26:17+00:00
23899,Solarcast #30026,2020-04-01 11:44:41+00:00
23904,Solarcast #30026,2020-04-01 22:04:37+00:00
23905,Solarcast #30026,2020-04-01 23:30:02+00:00
23906,Solarcast #30026,2020-04-01 23:30:03+00:00
23907,Solarcast #30026,2020-04-02 00:00:53+00:00
23908,Solarcast #30026,2020-04-02 02:26:27+00:00
23909,Solarcast #30026,2020-04-02 02:32:17+00:00
23911,Solarcast #30026,2020-04-02 05:52:23+00:00
23913,Solarcast #30026,2020-04-02 07:12:35+00:00
23934,Solarcast #30026,2020-04-02 20:27:55+00:00
23947,Solarcast #30026,2020-04-03 07:18:19+00:00
23956,Solarcast #30026,2020-04-03 11:39:47+00:00
23957,Solarcast #30026,2020-04-03 16:39:42+00:00
23970,Solarcast #30026,2020-04-03 21:16:45+00:00
23972,Solarcast #30026,2020-04-03 22:42:30+00:00
23976,Solarcast #30026,2020-04-04 01:43:19+00:00
23977,Solarcast #30026,2020-04-04 08:58:37+00:00
23978,Solarcast #30026,2020-04-04 09:50:15+00:00
23985,Solarcast #30026,2020-04-04 15:09:49+00:00
23986,Solarcast #30026,2020-04-04 18:44:47+00:00
23987,Solarcast #30026,2020-04-04 18:44:48+00:00
23988,Solarcast #30026,2020-04-04 18:58:42+00:00
24006,Solarcast #30026,2020-04-05 13:09:39+00:00
24014,Solarcast #30026,2020-04-06 06:24:45+00:00
24020,Solarcast #30026,2020-04-06 11:19:43+00:00
24023,Solarcast #30026,2020-04-06 14:42:33+00:00
24049,Solarcast #30026,2020-04-07 14:13:34+00:00
24051,Solarcast #30026,2020-04-07 16:33:59+00:00
24063,Solarcast #30026,2020-04-08 07:21:50+00:00
24084,Solarcast #30026,2020-04-08 13:36:10+00:00
24086,Solarcast #30026,2020-04-08 14:31:40+00:00
24092,Solarcast #30026,2020-04-08 23:41:04+00:00
24098,Solarcast #30026,2020-04-09 01:21:49+00:00
24102,Solarcast #30026,2020-04-09 04:06:07+00:00
24110,Solarcast #30026,2020-04-09 09:09:38+00:00
24112,Solarcast #30026,2020-04-09 13:49:49+00:00
24113,Solarcast #30026,2020-04-09 14:19:38+00:00
24148,Solarcast #30026,2020-04-10 08:39:40+00:00
24149,Solarcast #30026,2020-04-10 09:54:37+00:00
24155,Solarcast #30026,2020-04-10 16:11:04+00:00
24163,Solarcast #30026,2020-04-11 01:20:32+00:00
24188,Solarcast #30026,2020-04-11 11:05:16+00:00
24189,Solarcast #30026,2020-04-11 12:20:24+00:00
24190,Solarcast #30026,2020-04-11 13:35:28+00:00
24191,Solarcast #30026,2020-04-11 14:50:16+00:00
24192,Solarcast #30026,2020-04-11 16:05:24+00:00
24193,Solarcast #30026,2020-04-11 17:20:25+00:00
24194,Solarcast #30026,2020-04-11 18:35:16+00:00
24196,Solarcast #30026,2020-04-11 19:35:16+00:00
24204,Solarcast #30026,2020-04-11 22:11:47+00:00
24237,Solarcast #30026,2020-04-12 16:37:57+00:00
24238,Solarcast #30026,2020-04-12 16:37:58+00:00
24243,Solarcast #30026,2020-04-13 14:43:11+00:00
24244,Solarcast #30026,2020-04-13 16:05:50+00:00
24245,Solarcast #30026,2020-04-13 17:41:47+00:00
24259,Solarcast #30026,2020-04-14 04:01:06+00:00
24266,Solarcast #30026,2020-04-14 10:09:25+00:00
24267,Solarcast #30026,2020-04-14 11:24:35+00:00
24268,Solarcast #30026,2020-04-14 16:28:11+00:00
24269,Solarcast #30026,2020-04-14 18:27:08+00:00
24271,Solarcast #30026,2020-04-14 22:38:55+00:00
24272,Solarcast #30026,2020-04-15 00:42:15+00:00
24277,Solarcast #30026,2020-04-15 01:57:13+00:00
24302,Solarcast #30026,2020-04-15 10:44:49+00:00
24303,Solarcast #30026,2020-04-15 10:44:50+00:00
24304,Solarcast #30026,2020-04-15 11:45:38+00:00
24305,Solarcast #30026,2020-04-15 11:51:44+00:00
24306,Solarcast #30026,2020-04-15 13:09:00+00:00
24307,Solarcast #30026,2020-04-15 14:27:13+00:00
24323,Solarcast #30026,2020-04-15 22:51:42+00:00
24342,Solarcast #30026,2020-04-16 05:39:40+00:00
24360,Solarcast #30026,2020-04-16 11:29:24+00:00
24367,Solarcast #30026,2020-04-16 15:01:42+00:00
24444,Solarcast #30026,2020-04-18 23:14:24+00:00
24456,Solarcast #30026,2020-04-19 04:24:22+00:00
24471,Solarcast #30026,2020-04-19 09:09:02+00:00
24481,Solarcast #30026,2020-04-19 12:38:44+00:00
24483,Solarcast #30026,2020-04-19 17:31:06+00:00
24484,Solarcast #30026,2020-04-20 01:43:12+00:00
24486,Solarcast #30026,2020-04-20 05:44:22+00:00
37432,Solarcast #33001,2020-04-01 01:35:44+00:00
37440,Solarcast #33001,2020-04-01 03:21:41+00:00
37447,Solarcast #33001,2020-04-01 05:12:57+00:00
37448,Solarcast #33001,2020-04-01 05:57:43+00:00
37463,Solarcast #33001,2020-04-01 09:17:38+00:00
37469,Solarcast #33001,2020-04-01 10:42:22+00:00
37480,Solarcast #33001,2020-04-01 12:59:41+00:00
37486,Solarcast #33001,2020-04-01 14:21:41+00:00
37496,Solarcast #33001,2020-04-01 16:32:23+00:00
37861,Solarcast #33001,2020-04-06 07:40:31+00:00
37867,Solarcast #33001,2020-04-06 08:56:49+00:00
37874,Solarcast #33001,2020-04-06 10:27:27+00:00
37879,Solarcast #33001,2020-04-06 11:28:20+00:00
37883,Solarcast #33001,2020-04-06 13:14:30+00:00
37889,Solarcast #33001,2020-04-06 15:44:30+00:00
37890,Solarcast #33001,2020-04-06 16:59:30+00:00
37891,Solarcast #33001,2020-04-06 18:14:29+00:00
37896,Solarcast #33001,2020-04-06 19:05:54+00:00
37903,Solarcast #33001,2020-04-06 20:31:21+00:00
37911,Solarcast #33001,2020-04-06 22:28:41+00:00
37919,Solarcast #33001,2020-04-07 00:05:37+00:00
37927,Solarcast #33001,2020-04-07 01:51:50+00:00
37933,Solarcast #33001,2020-04-07 03:04:18+00:00
37935,Solarcast #33001,2020-04-07 04:29:28+00:00
37946,Solarcast #33001,2020-04-07 06:51:50+00:00
37954,Solarcast #33001,2020-04-07 08:29:34+00:00
37958,Solarcast #33001,2020-04-07 10:20:06+00:00
37960,Solarcast #33001,2020-04-07 12:06:15+00:00
37965,Solarcast #33001,2020-04-07 13:34:55+00:00
37966,Solarcast #33001,2020-04-07 15:27:07+00:00
37977,Solarcast #33001,2020-04-07 19:29:31+00:00
37978,Solarcast #33001,2020-04-07 20:21:49+00:00
37984,Solarcast #33001,2020-04-07 23:59:24+00:00
37985,Solarcast #33001,2020-04-08 01:14:32+00:00
37986,Solarcast #33001,2020-04-08 02:29:32+00:00
37987,Solarcast #33001,2020-04-08 03:44:32+00:00
38189,Solarcast #33001,2020-04-10 11:41:53+00:00
38190,Solarcast #33001,2020-04-10 11:59:21+00:00
38191,Solarcast #33001,2020-04-10 13:14:21+00:00
38192,Solarcast #33001,2020-04-10 14:29:21+00:00
38203,Solarcast #33001,2020-04-10 18:14:20+00:00
38204,Solarcast #33001,2020-04-10 19:29:20+00:00
38222,Solarcast #33001,2020-04-10 23:38:10+00:00
38226,Solarcast #33001,2020-04-11 00:37:35+00:00
38227,Solarcast #33001,2020-04-11 01:29:19+00:00
38228,Solarcast #33001,2020-04-11 02:44:19+00:00
38244,Solarcast #33001,2020-04-11 07:44:18+00:00
38258,Solarcast #33001,2020-04-11 10:45:08+00:00
38265,Solarcast #33001,2020-04-11 12:17:15+00:00
38271,Solarcast #33001,2020-04-11 13:31:07+00:00
38273,Solarcast #33001,2020-04-11 14:59:16+00:00
38274,Solarcast #33001,2020-04-11 16:14:16+00:00
38305,Solarcast #33001,2020-04-12 00:44:15+00:00
38306,Solarcast #33001,2020-04-12 01:59:14+00:00
38312,Solarcast #33001,2020-04-12 04:29:14+00:00
38318,Solarcast #33001,2020-04-12 06:59:13+00:00
38398,Solarcast #33001,2020-04-13 15:11:52+00:00
38404,Solarcast #33001,2020-04-13 16:32:11+00:00
38405,Solarcast #33001,2020-04-13 17:19:28+00:00
38406,Solarcast #33001,2020-04-13 18:34:26+00:00
38410,Solarcast #33001,2020-04-13 19:10:55+00:00
38417,Solarcast #33001,2020-04-13 20:34:24+00:00
38424,Solarcast #33001,2020-04-13 22:02:15+00:00
38431,Solarcast #33001,2020-04-13 23:21:55+00:00
38439,Solarcast #33001,2020-04-14 01:10:13+00:00
38446,Solarcast #33001,2020-04-14 02:41:51+00:00
38453,Solarcast #33001,2020-04-14 04:13:35+00:00
38461,Solarcast #33001,2020-04-14 05:51:46+00:00
38468,Solarcast #33001,2020-04-14 07:28:42+00:00
38469,Solarcast #33001,2020-04-14 08:18:37+00:00
38470,Solarcast #33001,2020-04-14 09:39:42+00:00
38471,Solarcast #33001,2020-04-14 10:57:00+00:00
38472,Solarcast #33001,2020-04-14 12:07:00+00:00
38473,Solarcast #33001,2020-04-14 13:29:16+00:00
38474,Solarcast #33001,2020-04-14 14:45:53+00:00
38475,Solarcast #33001,2020-04-14 16:00:53+00:00
38476,Solarcast #33001,2020-04-14 17:15:53+00:00
38477,Solarcast #33001,2020-04-14 18:38:51+00:00
38480,Solarcast #33001,2020-04-14 19:21:25+00:00
38920,Solarcast #33001,2020-04-19 08:38:45+00:00
38923,Solarcast #33001,2020-04-19 09:42:35+00:00
43637,Solarcast #33003,2020-04-11 19:21:44+00:00
43638,Solarcast #33003,2020-04-11 19:42:13+00:00
43639,Solarcast #33003,2020-04-11 20:22:09+00:00
43640,Solarcast #33003,2020-04-11 21:32:09+00:00
43655,Solarcast #33003,2020-04-12 01:02:08+00:00
43657,Solarcast #33003,2020-04-12 01:32:08+00:00
43663,Solarcast #33003,2020-04-12 02:21:44+00:00
43671,Solarcast #33003,2020-04-12 03:26:57+00:00
43678,Solarcast #33003,2020-04-12 04:27:57+00:00
43683,Solarcast #33003,2020-04-12 05:24:47+00:00
43684,Solarcast #33003,2020-04-12 06:00:15+00:00
43685,Solarcast #33003,2020-04-12 06:12:10+00:00
43686,Solarcast #33003,2020-04-12 07:22:10+00:00
43687,Solarcast #33003,2020-04-12 08:32:07+00:00
43688,Solarcast #33003,2020-04-12 09:42:06+00:00
43689,Solarcast #33003,2020-04-12 10:52:09+00:00
43690,Solarcast #33003,2020-04-12 12:02:06+00:00
44359,Solarcast #33003,2020-04-17 23:04:06+00:00
44361,Solarcast #33003,2020-04-17 23:38:24+00:00
44362,Solarcast #33003,2020-04-18 00:24:54+00:00
44364,Solarcast #33003,2020-04-18 01:34:55+00:00
44367,Solarcast #33003,2020-04-18 01:46:49+00:00
44375,Solarcast #33003,2020-04-18 02:54:20+00:00
44381,Solarcast #33003,2020-04-18 03:49:05+00:00
44389,Solarcast #33003,2020-04-18 04:59:46+00:00
44398,Solarcast #33003,2020-04-18 06:17:11+00:00
44407,Solarcast #33003,2020-04-18 07:34:07+00:00
44414,Solarcast #33003,2020-04-18 08:43:01+00:00
44423,Solarcast #33003,2020-04-18 09:44:21+00:00
44431,Solarcast #33003,2020-04-18 10:58:13+00:00
44432,Solarcast #33003,2020-04-18 11:39:23+00:00
44433,Solarcast #33003,2020-04-18 12:04:21+00:00
44434,Solarcast #33003,2020-04-18 13:14:15+00:00
44437,Solarcast #33003,2020-04-18 13:45:54+00:00
44441,Solarcast #33003,2020-04-18 14:18:50+00:00
44449,Solarcast #33003,2020-04-18 15:25:52+00:00
44456,Solarcast #33003,2020-04-18 16:24:24+00:00
44464,Solarcast #33003,2020-04-18 17:42:14+00:00
44473,Solarcast #33003,2020-04-18 18:57:14+00:00
44482,Solarcast #33003,2020-04-18 20:16:45+00:00
44489,Solarcast #33003,2020-04-18 21:22:14+00:00
45030,Solarcast #33008,2020-04-02 14:10:44+00:00
45031,Solarcast #33008,2020-04-02 14:40:43+00:00
45046,Solarcast #33008,2020-04-02 16:48:07+00:00
45055,Solarcast #33008,2020-04-02 18:03:36+00:00
45057,Solarcast #33008,2020-04-02 18:23:10+00:00
45058,Solarcast #33008,2020-04-02 19:20:42+00:00
45080,Solarcast #33008,2020-04-03 00:00:41+00:00
48555,Solarcast #33009,2020-04-09 19:52:01+00:00
48565,Solarcast #33009,2020-04-09 21:19:22+00:00
48571,Solarcast #33009,2020-04-09 22:15:52+00:00
48580,Solarcast #33009,2020-04-09 23:30:50+00:00
48588,Solarcast #33009,2020-04-10 00:42:03+00:00
48596,Solarcast #33009,2020-04-10 01:56:46+00:00
48601,Solarcast #33009,2020-04-10 02:29:20+00:00
48652,Solarcast #33009,2020-04-10 10:39:18+00:00
48659,Solarcast #33009,2020-04-10 11:45:07+00:00
48669,Solarcast #33009,2020-04-10 13:12:13+00:00
48673,Solarcast #33009,2020-04-10 13:49:33+00:00
48674,Solarcast #33009,2020-04-10 14:49:03+00:00
48704,Solarcast #33009,2020-04-10 19:59:06+00:00
48706,Solarcast #33009,2020-04-10 20:08:15+00:00
48713,Solarcast #33009,2020-04-10 21:01:03+00:00
48720,Solarcast #33009,2020-04-10 22:06:50+00:00
48729,Solarcast #33009,2020-04-10 23:20:33+00:00
48738,Solarcast #33009,2020-04-11 00:35:36+00:00
48747,Solarcast #33009,2020-04-11 01:51:50+00:00
48750,Solarcast #33009,2020-04-11 02:13:52+00:00
48763,Solarcast #33009,2020-04-11 05:19:05+00:00
48764,Solarcast #33009,2020-04-11 06:29:05+00:00
48773,Solarcast #33009,2020-04-11 08:09:00+00:00
48776,Solarcast #33009,2020-04-11 08:25:08+00:00
48784,Solarcast #33009,2020-04-11 09:35:08+00:00
48791,Solarcast #33009,2020-04-11 10:38:07+00:00
48801,Solarcast #33009,2020-04-11 12:04:39+00:00
48810,Solarcast #33009,2020-04-11 13:26:47+00:00
48830,Solarcast #33009,2020-04-11 17:28:58+00:00
48831,Solarcast #33009,2020-04-11 18:39:02+00:00
49021,Solarcast #33009,2020-04-13 03:14:28+00:00
49022,Solarcast #33009,2020-04-13 03:14:57+00:00
49380,Solarcast #33009,2020-04-15 21:23:55+00:00
49382,Solarcast #33009,2020-04-15 21:39:37+00:00
49517,Solarcast #33009,2020-04-16 20:40:33+00:00
49522,Solarcast #33009,2020-04-16 21:24:33+00:00
49530,Solarcast #33009,2020-04-16 22:34:34+00:00
49535,Solarcast #33009,2020-04-16 23:29:48+00:00
49536,Solarcast #33009,2020-04-16 23:53:24+00:00
49537,Solarcast #33009,2020-04-17 00:23:10+00:00
49538,Solarcast #33009,2020-04-17 01:33:11+00:00
49539,Solarcast #33009,2020-04-17 02:43:11+00:00
49540,Solarcast #33009,2020-04-17 03:49:16+00:00
49541,Solarcast #33009,2020-04-17 05:03:11+00:00
49542,Solarcast #33009,2020-04-17 06:13:11+00:00
49543,Solarcast #33009,2020-04-17 07:23:11+00:00
49546,Solarcast #33009,2020-04-17 08:33:12+00:00
49549,Solarcast #33009,2020-04-17 08:50:38+00:00
